"","year","AL","FR_MA","ERC","EEC","NC","SC","MA","C","B","PR","MA_eb","InvInc"
"1",2016,18808.2494546057,91,430.796709336177,134.647613404637,391.49119986442,173.953122876394,17115.5070036911,565.444322740815,941.502149981576,1397.264823,17994.9078646842,1255.45868823378
"2",2017,19598.1331750916,91.819499867237,419.537204474345,145.849817815947,403.440477039594,161.946545250698,17994.9078646842,565.387022290292,995.732428554559,1513.84777223351,18881.9046428014,1317.34218438149
"3",2018,20417.6391314269,92.4783934188468,448.914141752723,155.196022242302,416.088586463146,188.021577531879,18881.9046428014,604.110163995025,1052.63279310838,1614.79482871945,19815.8856647146,1382.5036510266
"4",2019,21266.9118162515,93.1770716685437,447.234727503984,165.224469268493,429.339435297959,183.119761474519,19815.8856647146,612.459196772478,1112.24020765592,1722.72942018571,20764.8125028685,1448.70784903734
"5",2020,22145.9830547321,93.7633360034184,421.7585385581,175.948238869606,443.088202584307,154.6185748434,20764.8125028685,597.706777427706,1175.22304822465,1837.93303361777,21701.343449477,1514.04721740537
"6",2021,23054.0759749611,94.1323498415057,442.300981599587,183.041562979428,457.16859492923,168.173949649785,21701.343449477,625.342544579015,1109.43189524994,1934.23009460628,22808.5481562165,1591.29405741045
"7",2022,24081.9486252385,94.7122199750588,468.508265468272,188.640174063587,471.441781294921,185.706658236938,22808.5481562165,657.148439531859,1175.4126690859,2005.12234384577,23962.0552211621,1671.77129449968
"8",2023,25131.3260677561,95.347357145256,484.317663122198,194.822370067833,486.597462177906,192.542571012125,23962.0552211621,679.140033190032,1242.60360409666,2078.87497226404,25153.4860240247,1754.89437376916
"9",2024,26203.4689202751,95.992962231661,433.931685754924,201.52579604227,502.520036826478,132.937444970716,25153.4860240247,635.457481797194,1311.70986070769,2155.17987394677,26313.0261684977,1835.79252338356
"10",2025,27298.8500286234,96.3887714717214,403.059124350521,208.703391874456,519.082196406419,92.6803198185577,26313.0261684977,611.762516224977,1383.23126183502,2233.70421442263,27457.1742296043,1915.61680671658
"11",2026,28417.3035354344,96.6213215668653,368.110000318242,216.543652484899,536.114990564933,48.538662238207,27457.1742296043,584.65365280314,1457.70749089977,2313.6767273401,28577.9294208707,1993.80902936307
"12",2027,29557.8893627321,96.6846078560098,379.051530958746,224.689440211212,553.853115996511,49.8878551734462,28577.9294208707,603.740971169958,1534.95951372273,2395.04490897091,29720.2141941918,2073.50331587385
"13",2028,30720.0416873813,96.7453576288598,422.253315096332,233.203132201324,572.494503871631,82.9619434260251,29720.2141941918,655.456447297656,1613.01202516056,2479.43421780232,30919.8580125535,2157.19939622467
"14",2029,31905.4884785493,96.9107808311464,435.539175463863,242.0308306793,591.881938534386,85.6880676087764,30919.8580125535,677.570006143162,1692.39627499606,2566.41158530702,32147.9091244782,2242.87738077755
"15",2030,33115.3472027442,97.078580899838,449.03228805537,251.183189122586,611.902498671855,88.3129785061016,32147.9091244782,700.215477177957,1773.55626153963,2655.84479399634,33405.1609656253,2330.59262550874
"16",2031,34350.2204478671,97.2487527884249,469.094846036974,259.989235108997,632.333296926021,96.7507842199498,33405.1609656253,729.084081145971,1857.00897100018,2747.48628024091,34698.0287814539,2420.79270568283
"17",2032,35609.9606318274,97.4391101978403,434.885054679955,269.354287536978,653.706817743006,50.5325244739269,34698.0287814539,704.239342216933,1941.06598681397,2842.24489286471,35970.7922971211,2509.59016026426
"18",2033,36896.7965724632,97.4902854411126,418.699902435028,279.59427252899,676.362883105409,21.9312918586086,35970.7922971211,698.294174964018,2024.57566884609,2940.88087558553,37242.8491134819,2598.33831024293
"19",2034,38214.7275707267,97.4567960599849,547.666786829247,290.294587343829,700.237071248832,137.724302924244,37242.849113482,837.961374173076,2108.04885060432,3042.94039153818,38670.7187598295,2697.9571227788
"20",2035,39567.4344757241,97.733702657814,606.238944939958,301.390153221269,725.252904527137,182.37619363409,38670.7187598295,907.629098161227,2192.18132461148,3148.09960051743,40190.1290233827,2803.96249000344
"21",2036,40958.0440098127,98.1251180201722,620.621963187005,311.594223730366,751.324661753702,180.891525163669,40190.1290233827,932.216186917371,2277.4297601309,3255.45222242993,41758.2841089318,2913.36865876269
"22",2037,42389.3343297931,98.5112995265469,687.50351115801,322.608932752233,778.65000807731,231.462435832933,41758.2841089318,1010.11244391024,2362.62650490463,3369.51472526303,43436.2028015328,3030.43275359531
"23",2038,43865.7596704383,99.0207467689315,648.742822771489,334.535614968331,807.112947409844,176.165490329976,43436.2028015328,983.27843773982,2448.80506308567,3490.66301042175,45118.4768894009,3147.80071321402
"24",2039,45390.8726213696,99.399888752435,666.126600376468,347.320851943839,836.702796785705,176.744655534602,45118.4768894009,1013.44745232031,2536.61547121265,3618.67021509485,46864.9570357967,3269.64816528814
"25",2040,46967.7819429634,99.7810735297412,622.567436982332,360.921808830357,867.340095661193,116.149150151496,46864.9570357967,983.489245812689,2627.23478119194,3753.42864698166,48612.8023629488,3391.59086253131
"26",2041,48598.4788017401,100.02947327069,551.010016481753,373.271319343731,899.170955392121,25.1103804333622,48612.8023629488,924.281335825484,2720.12408769724,3894.16556672684,50328.2315819078,3511.27197083078
